, ,,,,Distance moved,Velocity,Freezing,Freezing,Cruising,Cruising,Bursting,Bursting,Turn angle,Angular velocity,Meander,Meander
,,,,,CenterNApoint,CenterNApoint,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute
,,,,,Total,Mean,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Mean,Mean,Mean,Total
,,,,,mm,mm/s,,s,,s,,s,deg,deg/s,deg/mm,deg/mm
C1,DMT 1,Trial     4,C10,0:00:00-0:30:00,994.296,0.840345,163,1682.28,212,10.16,44,2.68,115.778,2894.44,7865.01,230634000
C1,DMT 1,Trial     4,D4,0:00:00-0:30:00,2399.8,1.34139,604,1186.2,850,43.44,178,10.92,112.177,2804.42,6119.08,272905000
C1,DMT 1,Trial     4,D10,0:00:00-0:30:00,1553.95,0.863901,166,1477.2,214,9.84,41,2.28,117.695,2942.37,7022.41,311613000
C1,DMT 1,Trial     4,E4,0:00:00-0:30:00,2044.44,1.16796,714,1655.08,836,60.36,185,14.92,113.36,2833.99,7215.55,307729000
C1,DMT 1,Trial     4,E10,0:00:00-0:30:00,2628.43,1.46199,727,1620,1058,52.32,289,17.6,109.041,2726.04,6444.58,288433000
C1,DMT 1,Trial     4,F4,0:00:00-0:30:00,1314.83,1.04113,215,1240.6,294,14.6,70,4.16,115.571,2889.28,6430.72,202581000
C1,DMT 1,Trial     4,F10,0:00:00-0:30:00,2131.41,1.1863,644,1424.52,770,35.68,172,8.88,110.557,2763.93,6338.01,283252000
C1,DMT 1,Trial     4,G4,0:00:00-0:30:00,1218.73,0.943407,179,695.16,216,11.96,94,5.68,115.456,2886.39,7210.33,232000000
C1,DMT 1,Trial     4,G10,0:00:00-0:30:00,2342.54,1.43969,650,1463.24,887,45.84,279,16.36,110.849,2771.21,6900.53,279699000
C1,DMT 1,Trial     4,H4,0:00:00-0:30:00,1735.49,1.21156,418,1727.48,555,26.32,98,6.36,113.054,2826.35,5912.44,209360000
C1,DMT 1,Trial     4,H10,0:00:00-0:30:00,1599.2,0.900147,283,1767.8,373,19.28,84,6.2,116.58,2914.51,7597.4,333283000
C1,DMT 3,Trial     4,A5,0:00:00-0:30:00,2080.41,1.17503,526,815.04,687,31.6,158,8.48,113.359,2833.97,6393.94,282337000
